,Comments,Sample,CsPbI,FAPbI,MAPbI
0,-,#0-D1-E4-CsPbI0.0 FAPbI0.0 MAPbI1.0 ,0,0,1
1,-,#1-C1-F3-CsPbI0.17 FAPbI0.8 MAPbI0.03 ,0.17,0.8,0.03
2,With Br,#2-B1-G2-CsPbI0.05 FAPbI0.83 MAPbI0.12 ,0.05,0.83,0.12
3,-,#3-A1-A1-CsPbI0.13 FAPbI0.87 MAPbI0.0 ,0.13,0.87,0
4,-,#4-D2-F4-CsPbI0.17 FAPbI0.8 MAPbI0.03 ,0.17,0.8,0.03
5,With Br,#5-C2-G3-CsPbI0.05 FAPbI0.83 MAPbI0.12 ,0.05,0.83,0.12
6,-,#6-B2-A2-CsPbI0.13 FAPbI0.87 MAPbI0.0 ,0.13,0.87,0
7,-,#7-A2-B1-CsPbI0.13 FAPbI0.79 MAPbI0.08 ,0.13,0.79,0.08
8,With Br,#8-D3-G4-CsPbI0.05 FAPbI0.83 MAPbI0.12 ,0.05,0.83,0.12
9,-,#9-C3-A3-CsPbI0.13 FAPbI0.87 MAPbI0.0 ,0.13,0.87,0
10,-,#10-B3-B2-CsPbI0.13 FAPbI0.79 MAPbI0.08 ,0.13,0.79,0.08
11,-,#11-A3-C1-CsPbI0.25 FAPbI0.7 MAPbI0.06 ,0.26,0.74,0
12,-,#12-D4-A4-CsPbI0.13 FAPbI0.87 MAPbI0.0 ,0.13,0.87,0
13,-,#13-C4-B3-CsPbI0.13 FAPbI0.79 MAPbI0.08 ,0.13,0.79,0.08
14,-,#14-B4-C2-CsPbI0.25 FAPbI0.7 MAPbI0.06 ,0.26,0.74,0
15,-,#15-A4-D1-CsPbI0.26 FAPbI0.38 MAPbI0.36 ,0.26,0.38,0.36
16,-,#16-D5-B4-CsPbI0.13 FAPbI0.79 MAPbI0.08 ,0.13,0.79,0.08
17,-,#17-C5-C3-CsPbI0.25 FAPbI0.7 MAPbI0.06 ,0.26,0.74,0
18,-,#18-B5-D2-CsPbI0.26 FAPbI0.38 MAPbI0.36 ,0.26,0.38,0.36
19,-,#19-A5-E1-CsPbI0.0 FAPbI0.0 MAPbI1.0 ,0,0,1
20,-,#20-D6-C4-CsPbI0.25 FAPbI0.7 MAPbI0.06 ,0.26,0.74,0
21,-,#21-C6-D3-CsPbI0.26 FAPbI0.38 MAPbI0.36 ,0.26,0.38,0.36
22,-,#22-B6-E2-CsPbI0.0 FAPbI0.0 MAPbI1.0 ,0,0,1
23,-,#23-A6-F1-CsPbI0.17 FAPbI0.8 MAPbI0.03 ,0.17,0.8,0.03
24,-,#24-D7---CsPbI0.0 FAPbI0.0 MAPbI0.0 ,0,0,0
25,-,#25-C7-E3-CsPbI0.0 FAPbI0.0 MAPbI1.0 ,0,0,1
26,-,#26-B7-F2-CsPbI0.17 FAPbI0.8 MAPbI0.03 ,0.17,0.8,0.03
27,With Br,#27-A7-G1-CsPbI0.05 FAPbI0.83 MAPbI0.12 ,0.05,0.83,0.12
