Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
0,0,1,0.000,0.000,0.000
0,0.08,0.92,-0.172,0.007,-0.179
0,0.08,0.92,-0.137,0.007,-0.144
0,0.13,0.88,-0.193,0.010,-0.203
0,0.13,0.88,-0.161,0.010,-0.171
0,0.17,0.83,-0.201,0.012,-0.213
0,0.17,0.83,-0.167,0.012,-0.179
0,0.25,0.75,-0.180,0.015,-0.195
0,0.25,0.75,-0.148,0.015,-0.163
0,0.33,0.67,-0.143,0.016,-0.159
0,0.33,0.67,-0.125,0.016,-0.141
0,0.42,0.58,-0.138,0.018,-0.156
0,0.42,0.58,-0.136,0.018,-0.154
0,0.5,0.5,-0.138,0.018,-0.156
0,0.5,0.5,-0.094,0.018,-0.112
0,0.58,0.42,-0.087,0.018,-0.105
0,0.58,0.42,-0.115,0.018,-0.133
0,0.63,0.38,-0.113,0.017,-0.130
0,0.63,0.38,-0.106,0.017,-0.123
0,0.67,0.33,-0.089,0.016,-0.105
0,0.67,0.33,-0.080,0.016,-0.096
0,0.75,0.25,-0.080,0.015,-0.095
0,0.75,0.25,-0.067,0.015,-0.082
0,0.83,0.17,-0.057,0.012,-0.069
0,0.83,0.17,-0.049,0.012,-0.061
0,0.88,0.13,-0.032,0.010,-0.042
0,0.88,0.13,-0.040,0.010,-0.050
0,0.92,0.08,-0.031,0.007,-0.038
0,0.92,0.08,-0.035,0.007,-0.042
0,1,0,0.000,0.000,0.000
