Cs,MA,FA,dEmix (ev/f.u.),TdSmix (ev/f.u.),dGmix (ev/f.u.)
1.00,0.00,0.00,0.000,0.000,0.000
0.92,0.08,0.00,0.054,0.007,0.047
0.88,0.12,0.00,0.043,0.010,0.033
0.88,0.12,0.00,0.058,0.010,0.048
0.75,0.25,0.00,0.044,0.015,0.029
0.67,0.33,0.00,0.053,0.016,0.037
0.63,0.37,0.00,0.024,0.017,0.007
0.63,0.37,0.00,0.026,0.017,0.009
0.50,0.50,0.00,0.016,0.018,-0.002
0.50,0.50,0.00,0.037,0.018,0.019
0.42,0.58,0.00,0.012,0.018,-0.006
0.42,0.58,0.00,0.027,0.018,0.009
0.38,0.62,0.00,0.001,0.017,-0.016
0.38,0.62,0.00,0.003,0.017,-0.014
0.33,0.67,0.00,0.029,0.016,0.013
0.33,0.67,0.00,0.031,0.016,0.015
0.25,0.75,0.00,0.005,0.015,-0.010
0.25,0.75,0.00,0.005,0.015,-0.010
0.17,0.83,0.00,-0.016,0.012,-0.028
0.17,0.83,0.00,-0.013,0.012,-0.025
0.13,0.87,0.00,-0.038,0.010,-0.048
0.13,0.87,0.00,-0.026,0.010,-0.036
0.08,0.92,0.00,-0.014,0.007,-0.021
0.08,0.92,0.00,-0.045,0.007,-0.052
0.00,1.00,0.00,0.000,0.000,0.000
